"","Date","Troop","AggressorID","VictimID","ResultWLDU","winner","loser"
"1",2012-05-28,"rbm","phoe","beli",1,"phoe","beli"
"2",2012-05-28,"rbm","phoe","beli",1,"phoe","beli"
"3",2012-05-28,"rbm","sash","carm",1,"sash","carm"
"4",2012-05-28,"rbm","lola","phoe",1,"lola","phoe"
"5",2012-05-28,"rbm","tyle","stee",1,"tyle","stee"
"6",2012-05-29,"rst","lex","evan",1,"lex","evan"
"7",2012-05-29,"rst","ozzy","lex",1,"ozzy","lex"
"8",2012-05-29,"rst","lex","ozzy",2,"lex","ozzy"
"9",2012-05-29,"rst","kins","lex",1,"kins","lex"
"10",2012-05-29,"rst","laya","kins",1,"laya","kins"
"11",2012-05-29,"rst","kins","dodg",2,"kins","dodg"
"12",2012-05-29,"rst","dodg","ozzy",4,"dodg","ozzy"
"13",2012-05-29,"rst","dodg","lex",3,"dodg","lex"
"14",2012-05-29,"rst","lex","evan",1,"lex","evan"
"15",2012-05-29,"rst","pris","heid",1,"pris","heid"
"16",2012-05-29,"rst","meg","heid",1,"meg","heid"
"17",2012-05-29,"rst","izzy","nina",1,"izzy","nina"
"18",2012-05-30,"rst","tom","dext",1,"tom","dext"
"19",2012-05-30,"rst","tom","mclo",1,"tom","mclo"
"20",2012-05-30,"rst","ozzy","dodg",1,"ozzy","dodg"
"21",2012-06-01,"rbm","scar","carm",1,"scar","carm"
"22",2012-06-01,"rbm","ging","carm",1,"ging","carm"
"23",2012-06-01,"rst","dodg","ozzy",3,"dodg","ozzy"
"24",2012-06-01,"rst","dott","xena",1,"dott","xena"
"25",2012-06-01,"rbm","sash","fay",1,"sash","fay"
"26",2012-06-01,"rbm","sash","holl",1,"sash","holl"
"27",2012-06-04,"rbm","sash","tori",1,"sash","tori"
"28",2012-06-04,"rbm","sash","beli",1,"sash","beli"
"29",2012-06-04,"rbm","holl","beli",1,"holl","beli"
"30",2012-06-04,"rbm","king","ralp",1,"king","ralp"
"31",2012-06-05,"rst","lola","phoe",1,"lola","phoe"
"32",2012-06-05,"rbm","fay","tori",1,"fay","tori"
"33",2012-06-05,"rbm","scar","lola",1,"scar","lola"
"34",2012-06-05,"rbm","ralp","zool",1,"ralp","zool"
"35",2012-06-05,"rbm","sash","tori",1,"sash","tori"
"36",2012-06-05,"rbm","sash","dq",1,"sash","dq"
"37",2012-06-05,"rbm","fay","tori",1,"fay","tori"
"38",2012-06-07,"rbm","rasp","ging",1,"rasp","ging"
"39",2012-06-07,"rst","laya","laur",1,"laya","laur"
"40",2012-06-07,"rst","mclo","obi",1,"mclo","obi"
"41",2012-06-07,"rst","izzy","evan",4,"izzy","evan"
"42",2012-06-08,"rbm","scar","wokb",1,"scar","wokb"
"43",2012-06-08,"rst","heid","uma",1,"heid","uma"
"44",2012-06-08,"rbm","scar","phoe",1,"scar","phoe"
"45",2012-06-08,"rbm","phoe","dq",1,"phoe","dq"
"46",2012-06-11,"rst","dant","drac",1,"dant","drac"
"47",2012-06-11,"rst","alla","drac",1,"alla","drac"
"48",2012-06-11,"rst","pris","izzy",1,"pris","izzy"
"49",2012-06-13,"rbm","scar","tori",1,"scar","tori"
"50",2012-06-13,"rbm","holl","beli",1,"holl","beli"
"51",2012-06-13,"rbm","sash","ging",1,"sash","ging"
"52",2012-06-14,"rbm","king","larr",1,"king","larr"
"53",2012-06-14,"rbm","sash","lola",1,"sash","lola"
"54",2012-06-14,"rbm","fay","lola",1,"fay","lola"
"55",2012-06-14,"rbm","sash","carm",1,"sash","carm"
"56",2012-06-14,"rbm","zool","ralp",1,"zool","ralp"
"57",2012-06-15,"rbm","sash","holl",1,"sash","holl"
"58",2012-06-15,"rst","paul","drac",1,"paul","drac"
"59",2012-06-18,"rbm","sash","holl",1,"sash","holl"
"60",2012-06-18,"rbm","sash","holl",1,"sash","holl"
"61",2012-06-18,"rbm","scar","ging",1,"scar","ging"
"62",2012-06-18,"rbm","fay","ocea",1,"fay","ocea"
"63",2012-06-19,"rbm","dq","holl",1,"dq","holl"
"64",2012-06-19,"rbm","lola","ocea",1,"lola","ocea"
"65",2012-06-20,"rst","paul","xavi",1,"paul","xavi"
"66",2012-06-25,"rst","pris","mand",1,"pris","mand"
"67",2012-06-25,"rst","razo","paul",2,"razo","paul"
"68",2012-06-25,"rst","dott","xena",1,"dott","xena"
"69",2012-06-25,"rst","dott","xena",1,"dott","xena"
"70",2012-06-25,"rst","dott","xena",1,"dott","xena"
"71",2012-06-25,"rst","paul","dodg",1,"paul","dodg"
"72",2012-06-25,"rst","dott","xena",1,"dott","xena"
"73",2012-06-25,"rst","paul","dodg",1,"paul","dodg"
"74",2012-06-25,"rst","izzy","kins",1,"izzy","kins"
"75",2012-06-28,"rbm","dq","holl",1,"dq","holl"
"76",2012-06-28,"rbm","king","zool",1,"king","zool"
"77",2012-06-29,"rbm","phoe","ging",1,"phoe","ging"
"78",2012-06-29,"rbm","inf","wokb",1,"inf","wokb"
"79",2012-06-29,"rbm","king","zool",1,"king","zool"
"80",2012-06-29,"rbm","phoe","dq",1,"phoe","dq"
"81",2012-06-29,"rbm","phoe","beli",1,"phoe","beli"
"82",2012-06-29,"rbm","scar","ocea",1,"scar","ocea"
"83",2012-07-02,"rbm","fay","carm",1,"fay","carm"
"84",2012-07-03,"rbm","scar","ging",1,"scar","ging"
"85",2012-07-03,"rbm","lola","dq",1,"lola","dq"
"86",2012-07-03,"rbm","lola","wokb",1,"lola","wokb"
"87",2012-07-03,"rbm","lola","wokb",1,"lola","wokb"
