"","from","to","date","scan","troop"
"34","hect","lia",2017-06-08,"4547_J","pt"
"38","stru","shel",2017-06-08,"4543_J","pt"
"40","tarz","glac",2017-06-08,"4543_J","pt"
"43","tarz","band",2017-06-08,"4542_J","pt"
"45","band","lia",2017-06-08,"4540_J","pt"
"46","glac","turt",2017-06-08,"4539_J","pt"
"47","gord","turt",2017-06-08,"4539_J","pt"
"50","disn","damo",2017-06-07,"4533_J","pt"
"53","tarz","tita",2017-06-07,"4533_J","pt"
"55","fent","home",2017-06-06,"4660_J","rbm"
"56","cind","home",2017-06-06,"4660_J","rbm"
"58","fent","wolo",2017-06-06,"4658_J","rbm"
"59","sarg","socr",2017-06-05,"4650_J","rbm"
"60","grub","zool",2017-06-05,"4923_J","rst"
"62","pupi","vect",2017-06-05,"4923_J","rst"
"66","cind","cact",2017-06-05,"4647_J","rbm"
"68","wolo","razo",2017-06-02,"4643_J","rbm"
"71","wood","octo",2017-06-02,"4643_J","rbm"
"72","band","brie",2017-06-02,"4513_J","pt"
"73","stru","puzz",2017-06-02,"4513_J","pt"
"75","disn","damo",2017-06-02,"4513_J","pt"
"76","tita","tyva",2017-06-02,"4513_J","pt"
"78","timm","shel",2017-06-02,"4513_J","pt"
"80","cind","omni",2017-06-02,"4640_J","rbm"
"85","hect","tyva",2017-06-02,"4511_J","pt"
"86","amy","tear",2017-06-01,"4921_J","rst"
"87","dart","wall",2017-06-01,"4920_J","rst"
"91","arag","arwe",2017-06-01,"4915_J","rst"
"93","elto","amy",2017-06-01,"4915_J","rst"
"95","deso","pupi",2017-06-01,"4913_J","rst"
"98","glue","gunt",2017-06-01,"4913_J","rst"
"99","leon","zool",2017-06-01,"4913_J","rst"
"106","tucs","turt",2017-05-31,"4495_J","pt"
"109","amy","podg",2017-05-31,"4910_J","rst"
"111","sarg","socr",2017-05-30,"4636_J","rbm"
"112","sarg","home",2017-05-30,"4635_J","rbm"
"113","timm","tyva",2017-05-30,"4484_J","pt"
"114","stru","gord",2017-05-30,"4484_J","pt"
"117","sarg","socr",2017-05-30,"4630_J","rbm"
"119","grub","glue",2017-05-29,"4904_J","rst"
"121","amy","glue",2017-05-29,"4904_J","rst"
"123","dire","dori",2017-05-29,"4622_J","rbm"
"133","grub","amy",2017-05-25,"4893_J","rst"
"140","wolo","pean",2017-05-23,"4609_J","rbm"
"141","eve","bone",2017-05-23,"4889_J","rst"
"145","arag","arwe",2017-05-23,"4885_J","rst"
"146","sarg","socr",2017-05-22,"4601_J","rbm"
"147","elto","ella",2017-05-22,"4880_J","rst"
"148","pean","coco",2017-05-22,"4599_J","rbm"
"149","gizm","guge",2017-05-22,"4599_J","rbm"
"151","fent","sash",2017-05-22,"4598_J","rbm"
"152","gizm","razo",2017-05-22,"4597_J","rbm"
"153","home","flyn",2017-05-19,"4589_J","rbm"
"154","socr","sash",2017-05-19,"4588_J","rbm"
"157","fent","gats",2017-05-19,"4587_J","rbm"
"158","cind","sash",2017-05-19,"4587_J","rbm"
"160","wolo","wood",2017-05-19,"4585_J","rbm"
"161","tita","turt",2017-05-18,"4454_J","pt"
"164","glac","tarz",2017-05-18,"4454_J","pt"
"166","arag","arwe",2017-05-18,"4872_J","rst"
"167","amy","arwe",2017-05-18,"4872_J","rst"
"169","nobo","tucs",2017-05-17,"4442_J","pt"
"172","gord","glac",2017-05-17,"4442_J","pt"
"174","lia","tita",2017-05-17,"4441_J","pt"
"176","nife","polk",2017-05-17,"4441_J","pt"
"177","stru","brie",2017-05-17,"4440_J","pt"
"178","bilb","brie",2017-05-17,"4440_J","pt"
