"","date","troop","NDVI"
"1",2012-12-18,"rst",0.686155437
"2",2012-12-19,"rst",0.686155437
"3",2012-12-20,"rst",0.686155437
"4",2012-12-21,"rst",0.686155437
"5",2012-12-22,"rst",0.686155437
"6",2012-12-23,"rst",0.686155437
"7",2012-12-24,"rst",0.686155437
"8",2012-12-25,"rst",0.686155437
"9",2012-12-26,"rst",0.686155437
"10",2012-12-27,"rst",0.686155437
"11",2012-12-28,"rst",0.686155437
"12",2012-12-29,"rst",0.686155437
"13",2012-12-30,"rst",0.686155437
"14",2012-12-31,"rst",0.686155437
"15",2013-01-01,"rst",0.614265264
"16",2013-01-02,"rst",0.614265264
"17",2013-01-03,"rst",0.614265264
"18",2013-01-04,"rst",0.614265264
"19",2013-01-05,"rst",0.614265264
"20",2013-01-06,"rst",0.614265264
"21",2013-01-07,"rst",0.614265264
"22",2013-01-08,"rst",0.614265264
"23",2013-01-09,"rst",0.614265264
"24",2013-01-10,"rst",0.614265264
"25",2013-01-11,"rst",0.614265264
"26",2013-01-12,"rst",0.614265264
"27",2013-01-13,"rst",0.614265264
"28",2013-01-14,"rst",0.614265264
"29",2013-01-15,"rst",0.614265264
"30",2013-01-16,"rst",0.614265264
"31",2013-01-17,"rst",0.549915423
"32",2013-01-18,"rst",0.549915423
"33",2013-01-19,"rst",0.549915423
"34",2013-01-20,"rst",0.549915423
"35",2013-01-21,"rst",0.549915423
"36",2013-01-22,"rst",0.549915423
"37",2013-01-23,"rst",0.549915423
"38",2013-01-24,"rst",0.549915423
"39",2013-01-25,"rst",0.549915423
"40",2013-01-26,"rst",0.549915423
"41",2013-01-27,"rst",0.549915423
"42",2013-01-28,"rst",0.549915423
"43",2013-01-29,"rst",0.549915423
"44",2013-01-30,"rst",0.549915423
"45",2013-01-31,"rst",0.549915423
"46",2013-02-01,"rst",0.549915423
"47",2013-02-02,"rst",0.578331827
"48",2013-02-03,"rst",0.578331827
"49",2013-02-04,"rst",0.578331827
"50",2013-02-05,"rst",0.578331827
"51",2013-02-06,"rst",0.578331827
"52",2013-02-07,"rst",0.578331827
"53",2013-02-08,"rst",0.578331827
"54",2013-02-09,"rst",0.578331827
"55",2013-02-10,"rst",0.578331827
"56",2013-02-11,"rst",0.578331827
"57",2013-02-12,"rst",0.578331827
"58",2013-02-13,"rst",0.578331827
"59",2013-02-14,"rst",0.578331827
"60",2013-02-15,"rst",0.578331827
"61",2013-02-16,"rst",0.578331827
"62",2013-02-17,"rst",0.578331827
"63",2013-02-18,"rst",0.505311476
"64",2013-02-19,"rst",0.505311476
"65",2013-02-20,"rst",0.505311476
"66",2013-02-21,"rst",0.505311476
"67",2013-02-22,"rst",0.505311476
"68",2013-02-23,"rst",0.505311476
"69",2013-02-24,"rst",0.505311476
"70",2013-02-25,"rst",0.505311476
"71",2013-02-26,"rst",0.505311476
"72",2013-02-27,"rst",0.505311476
"73",2013-02-28,"rst",0.505311476
"74",2013-03-01,"rst",0.505311476
"75",2013-03-02,"rst",0.505311476
"76",2013-03-03,"rst",0.505311476
"77",2013-03-04,"rst",0.505311476
"78",2013-03-05,"rst",0.505311476
"79",2013-03-06,"rst",0.530020626
"80",2013-03-07,"rst",0.530020626
"81",2013-03-08,"rst",0.530020626
"82",2013-03-09,"rst",0.530020626
"83",2013-03-10,"rst",0.530020626
"84",2013-03-11,"rst",0.530020626
"85",2013-03-12,"rst",0.530020626
"86",2013-03-13,"rst",0.530020626
"87",2013-03-14,"rst",0.530020626
"88",2013-03-15,"rst",0.530020626
"89",2013-03-16,"rst",0.530020626
"90",2013-03-17,"rst",0.530020626
"91",2013-03-18,"rst",0.530020626
"92",2013-03-19,"rst",0.530020626
"93",2013-03-20,"rst",0.530020626
"94",2013-03-21,"rst",0.530020626
"95",2013-03-22,"rst",0.530020626
"96",2013-03-23,"rst",0.530020626
"97",2013-03-24,"rst",0.530020626
"98",2013-03-25,"rst",0.530020626
"99",2013-03-26,"rst",0.530020626
"100",2013-03-27,"rst",0.530020626
"101",2013-03-28,"rst",0.530020626
"102",2013-03-29,"rst",0.530020626
"103",2013-03-30,"rst",0.530020626
"104",2013-03-31,"rst",0.530020626
"105",2013-04-01,"rst",0.530020626
"106",2013-04-02,"rst",0.530020626
"107",2013-04-03,"rst",0.530020626
"108",2013-04-04,"rst",0.530020626
"109",2013-04-05,"rst",0.530020626
"110",2013-04-06,"rst",0.530020626
"111",2013-04-07,"rst",0.586948357
"112",2013-04-08,"rst",0.586948357
"113",2013-04-09,"rst",0.586948357
"114",2013-04-10,"rst",0.586948357
"115",2013-04-11,"rst",0.586948357
"116",2013-04-12,"rst",0.586948357
"117",2013-04-13,"rst",0.586948357
"118",2013-04-14,"rst",0.586948357
"119",2013-04-15,"rst",0.586948357
"120",2013-04-16,"rst",0.586948357
"121",2013-04-17,"rst",0.586948357
"122",2013-04-18,"rst",0.586948357
"123",2013-04-19,"rst",0.586948357
"124",2013-04-20,"rst",0.586948357
"125",2013-04-21,"rst",0.586948357
"126",2013-04-22,"rst",0.586948357
"127",2013-04-23,"rst",0.532184936
"128",2013-04-24,"rst",0.532184936
"129",2013-04-25,"rst",0.532184936
"130",2013-04-26,"rst",0.532184936
"131",2013-04-27,"rst",0.532184936
"132",2013-04-28,"rst",0.532184936
"133",2013-04-29,"rst",0.532184936
"134",2013-04-30,"rst",0.532184936
"135",2013-05-01,"rst",0.532184936
"136",2013-05-02,"rst",0.532184936
"137",2013-05-03,"rst",0.532184936
"138",2013-05-04,"rst",0.532184936
"139",2013-05-05,"rst",0.532184936
"140",2013-05-06,"rst",0.532184936
"141",2013-05-07,"rst",0.532184936
"142",2013-05-08,"rst",0.532184936
"143",2013-05-09,"rst",0.604398839
"144",2013-05-10,"rst",0.604398839
"145",2013-05-11,"rst",0.604398839
"146",2013-05-12,"rst",0.604398839
"147",2013-05-13,"rst",0.604398839
"148",2013-05-14,"rst",0.604398839
"149",2013-05-15,"rst",0.604398839
"150",2013-05-16,"rst",0.604398839
"151",2013-05-17,"rst",0.604398839
"152",2013-05-18,"rst",0.604398839
"153",2013-05-19,"rst",0.604398839
"154",2013-05-20,"rst",0.604398839
"155",2013-05-21,"rst",0.604398839
"156",2013-05-22,"rst",0.604398839
"157",2013-05-23,"rst",0.604398839
"158",2013-05-24,"rst",0.604398839
"159",2013-05-25,"rst",0.628042427
"160",2013-05-26,"rst",0.628042427
"161",2013-05-27,"rst",0.628042427
"162",2013-05-28,"rst",0.628042427
"163",2013-05-29,"rst",0.628042427
"164",2013-05-30,"rst",0.628042427
"165",2013-05-31,"rst",0.628042427
"166",2013-06-01,"rst",0.628042427
"167",2013-06-02,"rst",0.628042427
"168",2013-06-03,"rst",0.628042427
"169",2013-06-04,"rst",0.628042427
"170",2013-06-05,"rst",0.628042427
"171",2013-06-06,"rst",0.628042427
"172",2013-06-07,"rst",0.628042427
"173",2013-06-08,"rst",0.628042427
"174",2013-06-09,"rst",0.628042427
"175",2013-06-10,"rst",0.612704976
"176",2013-06-11,"rst",0.612704976
"177",2013-06-12,"rst",0.612704976
"178",2013-06-13,"rst",0.612704976
"179",2013-06-14,"rst",0.612704976
"180",2013-06-15,"rst",0.612704976
"181",2013-06-16,"rst",0.612704976
"182",2013-06-17,"rst",0.612704976
"183",2013-06-18,"rst",0.612704976
"184",2013-06-19,"rst",0.612704976
"185",2013-06-20,"rst",0.612704976
"186",2013-06-21,"rst",0.612704976
"187",2013-06-22,"rst",0.612704976
"188",2013-06-23,"rst",0.612704976
"189",2013-06-24,"rst",0.612704976
"190",2013-06-25,"rst",0.612704976
"191",2013-06-26,"rst",0.568912894
"192",2013-06-27,"rst",0.568912894
"193",2013-06-28,"rst",0.568912894
"194",2013-06-29,"rst",0.568912894
"195",2013-06-30,"rst",0.568912894
"196",2013-07-01,"rst",0.568912894
"197",2013-07-02,"rst",0.568912894
"198",2013-07-03,"rst",0.568912894
"199",2013-07-04,"rst",0.568912894
"200",2013-07-05,"rst",0.568912894
"201",2013-07-06,"rst",0.568912894
"202",2013-07-07,"rst",0.568912894
"203",2013-07-08,"rst",0.568912894
"204",2013-07-09,"rst",0.568912894
"205",2013-07-10,"rst",0.568912894
"206",2013-07-11,"rst",0.568912894
"207",2013-07-12,"rst",0.560625743
"208",2013-07-13,"rst",0.560625743
"209",2013-07-14,"rst",0.560625743
"210",2013-07-15,"rst",0.560625743
"211",2013-07-16,"rst",0.560625743
"212",2013-07-17,"rst",0.560625743
"213",2013-07-18,"rst",0.560625743
"214",2013-07-19,"rst",0.560625743
"215",2013-07-20,"rst",0.560625743
"216",2013-07-21,"rst",0.560625743
"217",2013-07-22,"rst",0.560625743
"218",2013-07-23,"rst",0.560625743
"219",2013-07-24,"rst",0.560625743
"220",2013-07-25,"rst",0.560625743
"221",2013-07-26,"rst",0.560625743
"222",2013-07-27,"rst",0.560625743
"223",2013-07-28,"rst",0.573032419
"224",2013-07-29,"rst",0.573032419
"225",2013-07-30,"rst",0.573032419
"226",2013-07-31,"rst",0.573032419
"227",2013-08-01,"rst",0.573032419
"228",2013-08-02,"rst",0.573032419
"229",2013-08-03,"rst",0.573032419
"230",2013-08-04,"rst",0.573032419
"231",2013-08-05,"rst",0.573032419
"232",2013-08-06,"rst",0.573032419
"233",2013-08-07,"rst",0.573032419
"234",2013-08-08,"rst",0.573032419
"235",2013-08-09,"rst",0.573032419
"236",2013-08-10,"rst",0.573032419
"237",2013-08-11,"rst",0.573032419
"238",2013-08-12,"rst",0.573032419
"239",2013-08-13,"rst",0.518930983
"240",2013-08-14,"rst",0.518930983
"241",2013-08-15,"rst",0.518930983
"242",2013-08-16,"rst",0.518930983
"243",2013-08-17,"rst",0.518930983
"244",2013-08-18,"rst",0.518930983
"245",2013-08-19,"rst",0.518930983
"246",2013-08-20,"rst",0.518930983
"247",2013-08-21,"rst",0.518930983
"248",2013-08-22,"rst",0.518930983
"249",2013-08-23,"rst",0.518930983
"250",2013-08-24,"rst",0.518930983
